Agency Name,ORI Number
WEST MONROE POLICE DEPARTMENT,LA0370200
WESTLAKE POLICE DEPARTMENT,LA0100500
WESTWEGO POLICE DEPARTMENT,LA0260400
WHITE CASTLE POLICE DEPARTMENT,LA0240300
WILSON POLICE DEPARTMENT,LA0190300
WINNFIELD POLICE DEPARTMENT,LA0640100
WINNSBORO POLICE DEPARTMENT,LA0210100
WISNER POLICE DEPARTMENT,LA0210200
WOODWORTH POLICE DEPARTMENT,LA0400700
YOUNGSVILLE POLICE DEPARTMENT,LA0280500
ZACHARY POLICE DEPARTMENT,LA0170300
ZWOLLE POLICE DEPARTMENT,LA0430200
