Agency Name,ORI Number
TENSAS PARISH SHERIFF'S OFFICE,LA0540000
TERREBONNE PARISH SHERIFF'S OFFICE,LA0550000
THIBODAUX POLICE DEPARTMENT,LA0290500
TICKFAW POLICE DEPARTMENT,LA0530800
TRI PARISH NARCOTICS TASK FORCE CROWLEY,LA0010800
TULANE UNIVERSITY,LA0362000
TULLOS POLICE DEPARTMENT,LA0300300
TUNICA-BILOXI TRIBAL POLICE DEPARTMENT,LADI00500
TURKEY CREEK POLICE DEPARTMENT,LA0200500
UNION PARISH SHERIFF'S OFFICE,LA0560000
UNIVERSITY OF LOUISIANA - MONROE POLICE,LA0370400
UNIVERSITY OF LOUISIANA AT LAFAYETTE POLICE,LA0280700
UNIVERSITY OF NEW ORLEANS POLICE DEPT.,LA0360300
URANIA POLICE DEPARTMENT,LA0300400
VARNADO POLICE DEPARTMENT,LA0590300
VERMILION PARISH SHERIFF'S OFFICE,LA0570000
VERNON PARISH SHERIFF'S OFFICE,LA0580000
VIDALIA POLICE DEPARTMENT,LA0150200
VILLAGE OF ATHENS POLICE DEPARTMENT,LA0140300
VILLAGE OF CASTOR POLICE DEPARTMENT,LA0070400
VILLAGE OF MCNARY POLICE DEPARTMENT,LA0400900
VILLAGE OF PIONEER POLICE DEPARTMENT,LA0620500
VILLE PLATTE POLICE DEPARTMENT,LA0200300
VINTON POLICE DEPARTMENT,LA0100400
VIVIAN POLICE DEPARTMENT,LA0090200
WALKER POLICE DEPARTMENT,LA0320300
WASHINGTON PARISH SHERIFF'S OFFICE,LA0590000
WASHINGTON POLICE DEPARTMENT,LA0490500
WATERPROOF POLICE DEPARTMENT,LA0540200
WEBSTER PARISH SHERIFF'S OFFICE,LA0600000
WELSH POLICE DEPARTMENT,LA0270400
WEST BATON ROUGE PARISH SHERIFF'S OFFICE,LA0610000
WEST CARROLL PARISH SHERIFF'S OFFICE,LA0620000
WEST FELICIANA PARISH SHERIFF'S OFFICE,LA0630000
WEST MONROE POLICE DEPARTMENT,LA0370200
WESTLAKE POLICE DEPARTMENT,LA0100500
WESTWEGO POLICE DEPARTMENT,LA0260400
WHITE CASTLE POLICE DEPARTMENT,LA0240300
WILSON POLICE DEPARTMENT,LA0190300
WILSON POLICE DEPT,LA0190300
WINN PARISH SHERIFF'S OFFICE,LA0640000
WINNFIELD POLICE DEPARTMENT,LA0640100
WINNFIELD POLICE DEPT,LA0640100
WINNSBORO POLICE DEPARTMENT,LA0210100
WISNER POLICE DEPARTMENT,LA0210200
WOODWORTH POLICE DEPARTMENT,LA0400700
YOUNGSVILLE POLICE DEPARTMENT,LA0280500
ZACHARY POLICE DEPARTMENT,LA0170300
ZWOLLE POLICE DEPARTMENT,LA0430200
